1,Тварини та зоотовари
2,,Товари для домашніх тварин
3,,,Товари для птахів
635,,,,Складні сходи
1809,,,,Робочі платформи
1866,,,,Риштування
2416,,,,Тележки зі сходами
6928,,,,Драбини
338,,,Ліхтарики та налобні ліхтари
2454,,,,Чоловіки
543689,,,,Ліхтарики
1169,,,Ковадла
1171,,,Сокири
1174,,,Різці та долота для різьблення
1179,,,Ломи
1180,,,Ножі
1181,,,,Болтові ножиці
1182,,,,Різаки для скла
1454,,,,Ручні ножиці та ніблери для металу
1824,,,,Ножиці для арматури
2080,,,,Різаки для труб
2411,,,,Універсальні ножі
2726,,,,Різаки для плитки та шиферу
7562,,,,Кусачки
1184,,,Різці та матриці
1185,,,Рукоятки
1186,,,Молотки
2208,,,,Ручні молотки
505364,,,,Електромолоти
1187,,,Літаки
1188,,,Полірувальні машини
1193,,,Інструменти для каменю
1450,,,,Шпатель для швів у камені
1555,,,,Будівельні лінії
1668,,,,Інструменти для роботи з цеглою
1799,,,,Кромкодержатели та фрези для каменю
2181,,,,Мулярні лопатки
2305,,,,Бетономішалки
2337,,,,Поплавки
4132,,,,Затиральні машини
7484,,,,Губки для шпаклівки
1194,,,Витягувачі цвяхів
1195,,,Викрутки для гайок
1196,,,Інструменти для підбирання
1201,,,Тримачі для пили
1202,,,Шпателі та скребки
1203,,,Викрутки
1206,,,Степлери та цвяхоколи
1215,,,Інструменти для герметизації
1217,,,Дрелі
1216,,,,Свердловочні преси
1367,,,,Бури
1465,,,,Станки для свердління отворів
1994,,,,Пневматичні бури
2629,,,,Ручні електробури
1219,,,Шліфувальні машини
1220,,,Теплові пістолети
1221,,,Ударні гайковерти та водії
1225,,,Полірувальні машини та бафери
